Input1,Input2,Input3,Input4,Input5,Input_Differential1,Input_Differential2,Input_Differential3,Input_Differential4,Output1,Output2,Output3,Output4,Output5,Output6,Output7,Output8,Output9,Output10,Output_Differential1,Output_Differential2,Output_Differential3,Output_Differential4,Output_Differential5,Output_Differential6,Output_Differential7,Output_Differential8,Output_Differential9,Output_Differential10
0.31677879982082846,0.2903215589751016,0.24974775695987206,0.19928783758715407,0.14457937624707617,-0.17079458816297238,-0.26917982619468855,-0.3540348416395986,-0.40430467887476906,0.09037653212196362,0.03975259821642685,-0.00574163978336506,-0.04575100557875622,-0.08081391929127624,-0.11205812222589195,-0.14085454965002686,-0.16845197428252112,-0.1956682065180505,-0.22269780152657936,-0.41808970346470575,-0.40494822926627183,-0.3759630031036142,-0.34024746274600304,-0.30484258472756176,-0.27487225071422633,-0.25331373702930227,-0.24079419240077274,-0.23564143432832335,-0.23436064925913036
0.2903215589751016,0.24974775695987206,0.19928783758715407,0.14457937624707617,0.09037653212196362,-0.26917982619468855,-0.3540348416395986,-0.40430467887476906,-0.41808970346470575,0.03975259821642685,-0.00574163978336506,-0.04575100557875622,-0.08081391929127624,-0.11205812222589195,-0.14085454965002686,-0.16845197428252112,-0.1956682065180505,-0.22269780152657936,-0.2490328798237239,-0.40494822926627183,-0.3759630031036142,-0.34024746274600304,-0.30484258472756176,-0.27487225071422633,-0.25331373702930227,-0.24079419240077274,-0.23564143432832335,-0.23436064925913036,-0.23256338397252166
0.24974775695987206,0.19928783758715407,0.14457937624707617,0.09037653212196362,0.03975259821642685,-0.3540348416395986,-0.40430467887476906,-0.41808970346470575,-0.40494822926627183,-0.00574163978336506,-0.04575100557875622,-0.08081391929127624,-0.11205812222589195,-0.14085454965002686,-0.16845197428252112,-0.1956682065180505,-0.22269780152657936,-0.2490328798237239,-0.2733884723799527,-0.3759630031036142,-0.34024746274600304,-0.30484258472756176,-0.27487225071422633,-0.25331373702930227,-0.24079419240077274,-0.23564143432832335,-0.23436064925913036,-0.23256338397252166,-0.22549764925938415
0.19928783758715407,0.14457937624707617,0.09037653212196362,0.03975259821642685,-0.00574163978336506,-0.40430467887476906,-0.41808970346470575,-0.40494822926627183,-0.3759630031036142,-0.04575100557875622,-0.08081391929127624,-0.11205812222589195,-0.14085454965002686,-0.16845197428252112,-0.1956682065180505,-0.22269780152657936,-0.2490328798237239,-0.2733884723799527,-0.2935566042431125,-0.34024746274600304,-0.30484258472756176,-0.27487225071422633,-0.25331373702930227,-0.24079419240077274,-0.23564143432832335,-0.23436064925913036,-0.23256338397252166,-0.22549764925938415,-0.2077924119155285
0.14457937624707617,0.09037653212196362,0.03975259821642685,-0.00574163978336506,-0.04575100557875622,-0.41808970346470575,-0.40494822926627183,-0.3759630031036142,-0.34024746274600304,-0.08081391929127624,-0.11205812222589195,-0.14085454965002686,-0.16845197428252112,-0.1956682065180505,-0.22269780152657936,-0.2490328798237239,-0.2733884723799527,-0.2935566042431125,-0.30619590348253756,-0.30484258472756176,-0.27487225071422633,-0.25331373702930227,-0.24079419240077274,-0.23564143432832335,-0.23436064925913036,-0.23256338397252166,-0.22549764925938415,-0.2077924119155285,-0.17279924997610246
0.09037653212196362,0.03975259821642685,-0.00574163978336506,-0.04575100557875622,-0.08081391929127624,-0.40494822926627183,-0.3759630031036142,-0.34024746274600304,-0.30484258472756176,-0.11205812222589195,-0.14085454965002686,-0.16845197428252112,-0.1956682065180505,-0.22269780152657936,-0.2490328798237239,-0.2733884723799527,-0.2935566042431125,-0.30619590348253756,-0.30694019012112184,-0.27487225071422633,-0.25331373702930227,-0.24079419240077274,-0.23564143432832335,-0.23436064925913036,-0.23256338397252166,-0.22549764925938415,-0.2077924119155285,-0.17279924997610246,-0.11282471565941657
0.03975259821642685,-0.00574163978336506,-0.04575100557875622,-0.08081391929127624,-0.11205812222589195,-0.3759630031036142,-0.34024746274600304,-0.30484258472756176,-0.27487225071422633,-0.14085454965002686,-0.16845197428252112,-0.1956682065180505,-0.22269780152657936,-0.2490328798237239,-0.2733884723799527,-0.2935566042431125,-0.30619590348253756,-0.30694019012112184,-0.2913689897157232,-0.25331373702930227,-0.24079419240077274,-0.23564143432832335,-0.23436064925913036,-0.23256338397252166,-0.22549764925938415,-0.2077924119155285,-0.17279924997610246,-0.11282471565941657,-0.022410525312468767
-0.00574163978336506,-0.04575100557875622,-0.08081391929127624,-0.11205812222589195,-0.14085454965002686,-0.34024746274600304,-0.30484258472756176,-0.27487225071422633,-0.25331373702930227,-0.16845197428252112,-0.1956682065180505,-0.22269780152657936,-0.2490328798237239,-0.2733884723799527,-0.2935566042431125,-0.30619590348253756,-0.30694019012112184,-0.2913689897157232,-0.25708542781776966,-0.24079419240077274,-0.23564143432832335,-0.23436064925913036,-0.23256338397252166,-0.22549764925938415,-0.2077924119155285,-0.17279924997610246,-0.11282471565941657,-0.022410525312468767,0.09424755977938712
-0.04575100557875622,-0.08081391929127624,-0.11205812222589195,-0.14085454965002686,-0.16845197428252112,-0.30484258472756176,-0.27487225071422633,-0.25331373702930227,-0.24079419240077274,-0.1956682065180505,-0.22269780152657936,-0.2490328798237239,-0.2733884723799527,-0.2935566042431125,-0.30619590348253756,-0.30694019012112184,-0.2913689897157232,-0.25708542781776966,-0.20570815819597577,-0.23564143432832335,-0.23436064925913036,-0.23256338397252166,-0.22549764925938415,-0.2077924119155285,-0.17279924997610246,-0.11282471565941657,-0.022410525312468767,0.09424755977938712,0.21759914270654251
-0.08081391929127624,-0.11205812222589195,-0.14085454965002686,-0.16845197428252112,-0.1956682065180505,-0.27487225071422633,-0.25331373702930227,-0.24079419240077274,-0.23564143432832335,-0.22269780152657936,-0.2490328798237239,-0.2733884723799527,-0.2935566042431125,-0.30619590348253756,-0.30694019012112184,-0.2913689897157232,-0.25708542781776966,-0.20570815819597577,-0.14269943036056043,-0.23436064925913036,-0.23256338397252166,-0.22549764925938415,-0.2077924119155285,-0.17279924997610246,-0.11282471565941657,-0.022410525312468767,0.09424755977938712,0.21759914270654251,0.3186848704893598
-0.11205812222589195,-0.14085454965002686,-0.16845197428252112,-0.1956682065180505,-0.22269780152657936,-0.25331373702930227,-0.24079419240077274,-0.23564143432832335,-0.23436064925913036,-0.2490328798237239,-0.2733884723799527,-0.2935566042431125,-0.30619590348253756,-0.30694019012112184,-0.2913689897157232,-0.25708542781776966,-0.20570815819597577,-0.14269943036056043,-0.07488790455032868,-0.23256338397252166,-0.22549764925938415,-0.2077924119155285,-0.17279924997610246,-0.11282471565941657,-0.022410525312468767,0.09424755977938712,0.21759914270654251,0.3186848704893598,0.3771479386606324
